Year_Month,Fuel_Category,Zip_Code,Count
2020/07,Electric,21140,16
2020/07,Electric,21144,92
2020/07,Electric,21146,137
2020/07,Electric,21152,43
2020/07,Electric,21153,10
2020/07,Electric,21154,7
2020/07,Electric,21155,3
2020/07,Electric,21156,2
2020/07,Electric,21157,47
2020/07,Electric,21158,35
2020/07,Electric,21160,1
2020/07,Electric,21161,15
2020/07,Electric,21162,11
2020/07,Electric,21163,38
2020/07,Electric,21201,36
2020/07,Electric,21202,37
2020/07,Electric,21204,89
2020/07,Electric,21205,3
2020/07,Electric,21206,18
2020/07,Electric,21207,13
2020/07,Electric,21208,119
2020/07,Electric,21209,79
2020/07,Electric,21210,94
2020/07,Electric,21211,36
2020/07,Electric,21212,106
2020/07,Electric,21213,12
2020/07,Electric,21214,25
2020/07,Electric,21215,21
2020/07,Electric,21216,3
2020/07,Electric,21217,15
2020/07,Electric,21218,57
2020/07,Electric,21219,10
2020/07,Electric,21220,25
2020/07,Electric,21221,25
2020/07,Electric,21222,24
2020/07,Electric,21223,2
2020/07,Electric,21224,95
2020/07,Electric,21225,17
2020/07,Electric,21226,4
2020/07,Electric,21227,22
2020/07,Electric,21228,87
2020/07,Electric,21229,32
2020/07,Electric,21230,148
2020/07,Electric,21231,48
2020/07,Electric,21234,43
2020/07,Electric,21236,23
2020/07,Electric,21237,31
2020/07,Electric,21239,11
2020/07,Electric,21244,25
2020/07,Electric,21250,9
2020/07,Electric,21286,60
2020/07,Electric,21401,166
2020/07,Electric,21402,3
2020/07,Electric,21403,133
2020/07,Electric,21405,2
2020/07,Electric,21409,79
2020/07,Electric,21502,21
2020/07,Electric,21532,8
2020/07,Electric,21541,4
2020/07,Electric,21545,1
2020/07,Electric,21550,6
2020/07,Electric,21561,4
2020/07,Electric,21601,28
2020/07,Electric,21607,1
2020/07,Electric,21610,1
2020/07,Electric,21613,18
2020/07,Electric,21617,12
2020/07,Electric,21619,11
2020/07,Electric,21620,15
2020/07,Electric,21623,6
2020/07,Electric,21625,1
2020/07,Electric,21629,2
2020/07,Electric,21631,2
2020/07,Electric,21632,1
2020/07,Electric,21635,1
2020/07,Electric,21638,8
2020/07,Electric,21639,1
2020/07,Electric,21647,1
2020/07,Electric,21651,1
2020/07,Electric,21654,11
2020/07,Electric,21655,2
2020/07,Electric,21658,12
2020/07,Electric,21660,2
2020/07,Electric,21661,2
2020/07,Electric,21662,5
2020/07,Electric,21663,15
2020/07,Electric,21664,1
2020/07,Electric,21666,29
2020/07,Electric,21671,2
2020/07,Electric,21673,4
2020/07,Electric,21677,2
2020/07,Electric,21679,1
2020/07,Electric,21701,107
2020/07,Electric,21702,59
2020/07,Electric,21703,68
2020/07,Electric,21704,117
2020/07,Electric,21710,21
2020/07,Electric,21713,10
2020/07,Electric,21714,1
2020/07,Electric,21716,14
2020/07,Electric,21718,2
2020/07,Electric,21722,2
2020/07,Electric,21723,7
2020/07,Electric,21727,6
2020/07,Electric,21737,33
2020/07,Electric,21738,32
2020/07,Electric,21740,52
2020/07,Electric,21742,51
2020/07,Electric,21754,42
2020/07,Electric,21755,14
2020/07,Electric,21756,4
2020/07,Electric,21757,1
2020/07,Electric,21758,2
2020/07,Electric,21762,1
2020/07,Electric,21769,51
2020/07,Electric,21770,27
2020/07,Electric,21771,64
2020/07,Electric,21773,15
2020/07,Electric,21774,80
2020/07,Electric,21776,11
2020/07,Electric,21777,6
2020/07,Electric,21778,3
2020/07,Electric,21779,2
2020/07,Electric,21780,3
2020/07,Electric,21782,2
2020/07,Electric,21783,7
2020/07,Electric,21784,113
2020/07,Electric,21787,3
2020/07,Electric,21788,7
2020/07,Electric,21791,4
2020/07,Electric,21793,17
2020/07,Electric,21794,22
2020/07,Electric,21795,4
2020/07,Electric,21797,37
2020/07,Electric,21798,3
2020/07,Electric,21801,23
2020/07,Electric,21804,12
2020/07,Electric,21811,18
2020/07,Electric,21813,5
2020/07,Electric,21817,2
2020/07,Electric,21826,1
2020/07,Electric,21830,2
2020/07,Electric,21837,1
2020/07,Electric,21842,16
2020/07,Electric,21849,1
2020/07,Electric,21851,3
2020/07,Electric,21862,1
2020/07,Electric,21863,3
2020/07,Electric,21874,1
2020/07,Electric,21875,9
2020/07,Electric,21901,15
2020/07,Electric,21903,4
2020/07,Electric,21904,10
2020/07,Electric,21911,9
2020/07,Electric,21912,1
2020/07,Electric,21913,2
2020/07,Electric,21914,2
2020/07,Electric,21915,3
2020/07,Electric,21917,3
2020/07,Electric,21919,2
2020/07,Electric,21921,31
2020/07,Electric,76101,1
2020/07,Electric,93933,1
2020/07,Electric,94304,1
2020/07,Electric,UNKNOWN,28
2020/07,Plug-in Hybrid,19973,1
2020/07,Plug-in Hybrid,20601,24
2020/07,Plug-in Hybrid,20602,24
2020/07,Plug-in Hybrid,20603,39
2020/07,Plug-in Hybrid,20606,1
2020/07,Plug-in Hybrid,20607,31
2020/07,Plug-in Hybrid,20611,1
2020/07,Plug-in Hybrid,20613,28
2020/07,Plug-in Hybrid,20616,7
2020/07,Plug-in Hybrid,20618,1
2020/07,Plug-in Hybrid,20619,27
2020/07,Plug-in Hybrid,20620,1
2020/07,Plug-in Hybrid,20621,1
2020/07,Plug-in Hybrid,20622,7
2020/07,Plug-in Hybrid,20623,3
2020/07,Plug-in Hybrid,20624,1
2020/07,Plug-in Hybrid,20627,1
2020/07,Plug-in Hybrid,20628,3
2020/07,Plug-in Hybrid,20629,1
2020/07,Plug-in Hybrid,20634,18
2020/07,Plug-in Hybrid,20636,18
2020/07,Plug-in Hybrid,20637,11
2020/07,Plug-in Hybrid,20639,35
2020/07,Plug-in Hybrid,20640,10
2020/07,Plug-in Hybrid,20645,2
2020/07,Plug-in Hybrid,20646,20
2020/07,Plug-in Hybrid,20650,37
2020/07,Plug-in Hybrid,20653,28
2020/07,Plug-in Hybrid,20657,27
2020/07,Plug-in Hybrid,20659,23
