year,annual
2002-01-01,39382
2003-01-01,40686
2004-01-01,42579
2005-01-01,44368
2006-01-01,46162
2007-01-01,48241
2008-01-01,49535
2009-01-01,50579
2010-01-01,51739
2011-01-01,53008
2012-01-01,54035
2013-01-01,54052
2014-01-01,55389
2015-01-01,57176
2016-01-01,58106
2017-01-01,59603
2018-01-01,61151
2019-01-01,62976
2020-01-01,68879
2021-01-01,71688
2022-01-01,73667
