date,gdp
2002-01-01,217001.4
2003-01-01,226803.4
2004-01-01,243449.8
2005-01-01,261795.3
2006-01-01,273791.0
2007-01-01,282618.2
2008-01-01,292908.3
2009-01-01,298282.8
2010-01-01,313930.5
2011-01-01,324920.9
2012-01-01,331869.0
2013-01-01,339895.8
2014-01-01,351743.1
2015-01-01,367314.1
2016-01-01,386496.4
2017-01-01,399714.5
2018-01-01,410771.8
2019-01-01,419447.6
2020-01-01,413417.7
2021-01-01,446941.0
2022-01-01,480112.7
2023-01-01,512279.5
